**Dry ingredient bags,8,,,,,,,,,,,,,,,,
bananas,30,,,,,,,,,,,,,,,,
coconut oil,1.5,,,,,,,,,,,,,,,,
vanilla extract,0,,,,,,,,,,,,,,,,
greek yogurt,0,,,,,,,,,,,,,,,,
eggs,0,,,,,,,,,,,,,,,,
honey,0,,,,,,,,,,,,,,,,
chocolate chips,0,,,,,,,,,,,,,,,,
Almond Milk,0,,,,,,,,,,,,,,,,
zucchini,0,,,,,,,,,,,,,,,,
pumpkin,0,,,,,,,,,,,,,,,,
pumpkin spice,0,,,,,,,,,,,,,,,,
brown sugar ,0,,,,,,,,,,,,,,,,
oat flour,0,,,,,,,,,,,,,,,,
cinnamon ,0.5,,,,,,,,,,,,,,,,
baking soda ,1,,,,,,,,,,,,,,,,
baking powder,0.5,,,,,,,,,,,,,,,,
salt ,0,,,,,,,,,,,,,,,,
Dry Bags ,0,,,,,,,,,,,,,,,,
Extra breads ,0,,,,,,,,,,,,,,,,
Packaging,0,,,,,,,,,,,,,,,,
clear bags ,0,,,,,,,,,,,,,,,,
logo stickers,0,,,,,,,,,,,,,,,,
liners,0,,,,,,,,,,,,,,,,
